kernel,quant,batch,dim_m,dim_n,dim_k,layout,throughput_tps,latency_us,bandwidth_gbps,xmx_util_pct,variance_pct,regime,tier,is_winner,source_file
mmvq_slm_cached,Q6_K,2,2048,2048,2048,AOS,11348.599469,176.2332,19.642338,0.0,3.27,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_prefetch,Q6_K,2,2048,2048,2048,AOS,12330.57786,162.1984,21.341961,0.0,2.09,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_wide_load,Q6_K,2,2048,2048,2048,AOS,14833.406017,134.8308,25.673896,0.0,2.17,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_aos_baseline,Q4_0,3,2048,2048,2048,AOS,37380.010167,80.2568,29.789177,0.0,2.6,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_soa_baseline,Q4_0,3,2048,2048,2048,SOA,130970.051515,22.906,104.373701,0.0,3.15,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_coalesced,Q4_0,3,2048,2048,2048,COALESCED,180344.819294,16.6348,143.721836,0.0,3.03,memory_bound,1,True,mmvq_tier1.jsonl
mmvq_slm_cached,Q4_0,3,2048,2048,2048,AOS,33847.056434,88.634,26.973667,0.0,2.97,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_prefetch,Q4_0,3,2048,2048,2048,AOS,20564.735044,145.8808,16.388613,0.0,2.32,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_wide_load,Q4_0,3,2048,2048,2048,AOS,25449.868848,117.8788,20.281713,0.0,3.26,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_aos_baseline,Q8_0,3,2048,2048,2048,AOS,20525.226872,146.1616,30.705302,0.0,3.57,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_soa_baseline,Q8_0,3,2048,2048,2048,SOA,100021.337885,29.9936,149.629788,0.0,3.05,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_coalesced,Q8_0,3,2048,2048,2048,COALESCED,162011.535221,18.5172,242.3658,0.0,3.65,memory_bound,1,True,mmvq_tier1.jsonl
mmvq_slm_cached,Q8_0,3,2048,2048,2048,AOS,18829.082145,159.328,28.167905,0.0,2.67,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_prefetch,Q8_0,3,2048,2048,2048,AOS,12190.661953,246.09,18.23697,0.0,3.0,memory_bound,1,False,mmvq_tier1.jsonl
mmvq_wide_load,Q8_0,3,2048,2048,2048,AOS,15434.417104,194.3708,23.089559,0.0,2.95,memory_bound,1,False,mmvq_tier1.jsonl
